target,launched,destroyed
Kharkiv oblast,1.0,1.0
Odesa oblast,1.0,1.0
Kherson oblast,1.0,1.0
"Dnipropetrovsk oblast, Kryvyi Rih Raion",1.0,1.0
Kherson oblast,4.0,4.0
Mykolaiv oblast,1.0,1.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
,10.0,10.0
Kharkiv oblast,2.0,0.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
Odesa oblast,20.0,17.0
Kherson oblast,2.0,2.0
Kherson oblast,3.0,3.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
Kharkiv oblast,1.0,1.0
Dnipropetrovsk oblast,2.0,2.0
,4.0,4.0
Odesa oblast,2.0,2.0
"Dnipropetrovsk oblast, Synelnykove Raion",1.0,1.0
Kherson oblast,1.0,1.0
Sumy oblast,13.0,12.0
Kherson oblast,1.0,1.0
Mykolaiv oblast,3.0,3.0
Zaporizhzhia oblast,1.0,1.0
,23.0,23.0
Zaporizhzhia oblast,1.0,1.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
Kharkiv oblast and Dnipropetrovsk oblast,13.0,13.0
,4.0,0.0
Kharkiv oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Zaporizhzhia oblast,1.0,1.0
Kherson oblast,1.0,1.0
Mykolaiv oblast,1.0,1.0
Kherson oblast,1.0,1.0
Mykolaiv oblast,1.0,1.0
Odesa oblast,1.0,1.0
Odesa oblast,2.0,2.0
Odesa oblast,1.0,1.0
Odesa oblast,2.0,2.0
Mykolaiv oblast,5.0,1.0
"Dnipropetrovsk oblast, Dnipro Raion",2.0,2.0
,1.0,0.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
Odesa oblast,1.0,1.0
Odesa oblast,1.0,1.0
Kherson oblast,1.0,1.0
Odesa oblast,1.0,1.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
"Dnipropetrovsk oblast, Kryvyi Rih Raion",1.0,1.0
Odesa oblast,1.0,1.0
Odesa oblast,1.0,1.0
"Dnipropetrovsk oblast, Synelnykove Raion",1.0,1.0
Kherson oblast,2.0,2.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
"Dnipropetrovsk oblast, Synelnykove Raion",1.0,1.0
,2.0,0.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
Odesa oblast,7.0,5.0
,3.0,0.0
Odesa oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Zaporizhzhia oblast,1.0,1.0
"Dnipropetrovsk oblast, Synelnykove Raion",1.0,1.0
Odesa oblast,2.0,2.0
Dnipropetrovsk oblast,1.0,1.0
Odesa oblast,1.0,1.0
Mykolaiv oblast,1.0,1.0
Zaporizhzhia oblast,1.0,1.0
"Dnipropetrovsk oblast, Novomoskovsk Raion",1.0,1.0
Odesa oblast,3.0,3.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
Odesa oblast,4.0,4.0
"Dnipropetrovsk oblast, Pavlohrad Raion",1.0,1.0
Kharkiv oblast,9.0,9.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
"Odesa oblast, Black Sea",2.0,2.0
Kharkiv oblast,10.0,10.0
,4.0,0.0
Mykolaiv oblast,1.0,1.0
"Dnipropetrovsk oblast, Kryvyi Rih Raion",1.0,1.0
Kharkiv oblast,2.0,2.0
Zaporizhzhia oblast,1.0,1.0
Donetsk oblast,1.0,0.0
Zaporizhzhia oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Zaporizhzhia oblast,4.0,2.0
Lviv oblast,6.0,0.0
,12.0,0.0
Zaporizhzhia oblast,1.0,1.0
Zaporizhzhia oblast,1.0,1.0
Zaporizhzhia oblast,1.0,1.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
,17.0,14.0
,1.0,0.0
,2.0,0.0
Odesa oblast,2.0,2.0
Odesa oblast,2.0,2.0
Odesa oblast,2.0,0.0
,1.0,1.0
,4.0,0.0
"Dnipropetrovsk oblast, Kryvyi Rih Raion",1.0,1.0
"Odesa oblast, Black Sea",2.0,2.0
"Dnipropetrovsk oblast, Kryvyi Rih Raion",1.0,1.0
,1.0,0.0
,1.0,0.0
"Odesa oblast, Black Sea",1.0,1.0
"Odesa oblast, Black Sea",1.0,1.0
"Odesa oblast, Black Sea",2.0,2.0
Zaporizhzhia oblast,1.0,1.0
,3.0,0.0
,2.0,0.0
"Odesa oblast, Black Sea",1.0,1.0
Kharkiv oblast,20.0,11.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
Donetsk oblast,3.0,0.0
Dnipro,1.0,1.0
,1.0,0.0
Dnipropetrovsk oblast,10.0,9.0
"Dnipropetrovsk oblast, Kryvyi Rih Raion",1.0,1.0
,1.0,1.0
,11.0,9.0
Mykolaiv oblast,1.0,1.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
Donetsk oblast,4.0,0.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
Odesa oblast,2.0,2.0
,1.0,0.0
,3.0,0.0
,28.0,26.0
Donetsk oblast,1.0,0.0
Zaporizhzhia oblast,1.0,1.0
Dnipropetrovsk oblast,1.0,1.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
Kharkiv oblast and Kyiv oblast and Sumy oblast,13.0,10.0
"Dnipropetrovsk oblast, Kryvyi Rih Raion",1.0,1.0
,12.0,12.0
Donetsk oblast,2.0,2.0
"Dnipropetrovsk oblast, Dnipro Raion",1.0,1.0
Kyiv,2.0,2.0
Odesa oblast and Mykolaiv oblast,9.0,8.0
Mykolaiv oblast,1.0,1.0
Mykolaiv oblast,1.0,1.0
Donetsk oblast,4.0,0.0
,2.0,2.0
,2.0,2.0
Kyiv oblast,29.0,29.0
Kyiv oblast,2.0,2.0
Odesa oblast,1.0,1.0
Odesa oblast,2.0,2.0
Odesa oblast,2.0,2.0
Odesa oblast,3.0,3.0
Sumy oblast,2.0,0.0
Kharkiv oblast,5.0,0.0
Chernihiv oblast,2.0,0.0
