time_start,target,launched,destroyed
2024-11-19 06:00:00,,1.0,1.0
2024-11-19 06:00:00,,2.0,2.0
2024-11-18 11:57:00,Odesa oblast,1.0,1.0
2024-11-18 11:45:00,Odesa oblast,1.0,1.0
2024-11-17 19:30:00,Sumy oblast,1.0,0.0
2024-11-17 19:30:00,Sumy oblast,2.0,0.0
2024-11-18 06:00:00,,2.0,2.0
2024-11-18 06:00:00,,1.0,1.0
2024-11-18 06:00:00,,1.0,1.0
2024-11-18 06:00:00,,4.0,4.0
2024-11-15 20:30:00,,3.0,3.0
2024-11-15 20:30:00,Kharkiv oblast,1.0,0.0
2024-11-14 21:00:00,Odesa oblast,29.0,25.0
2024-11-14 21:30:00,Odesa oblast,2.0,1.0
2024-11-13 06:00:00,Sumy oblast,2.0,0.0
2024-11-11 21:00:00,Chernihiv oblast,2.0,0.0
2024-11-11 21:00:00,Kharkiv,1.0,0.0
2024-11-08 21:00:00,Odesa oblast,51.0,32.0
2024-11-08 06:00:00,,1.0,1.0
2024-11-08 06:00:00,,1.0,1.0
2024-11-08 06:00:00,Mykolaiv oblast,1.0,0.0
2024-11-07 06:00:00,,3.0,3.0
2024-11-07 06:00:00,,1.0,1.0
2024-11-07 06:00:00,,1.0,1.0
2024-11-07 06:00:00,,10.0,10.0
2024-11-05 20:00:00,Odesa oblast,2.0,0.0
2024-11-05 20:00:00,Odesa oblast,1.0,0.0
2024-11-06 06:00:00,,2.0,2.0
2024-11-06 06:00:00,,2.0,2.0
2024-11-06 06:00:00,,1.0,1.0
2024-11-04 20:00:00,Odesa oblast,2.0,2.0
2024-11-03 19:00:00,Dnipropetrovsk oblast,1.0,0.0
2024-11-02 06:00:00,,1.0,1.0
2024-10-31 18:00:00,Odesa oblast,3.0,1.0
2024-11-01 06:00:00,,1.0,1.0
2024-11-01 06:00:00,,1.0,1.0
2024-11-01 06:00:00,Kherson,2.0,0.0
2024-10-30 18:30:00,Kramatorsk,2.0,0.0
2024-10-30 18:30:00,Odesa oblast,8.0,2.0
2024-10-30 18:30:00,Odesa oblast,2.0,0.0
2024-10-29 20:00:00,Sumy oblast,1.0,0.0
2024-10-30 06:00:00,,1.0,1.0
2024-10-30 06:00:00,,2.0,2.0
2024-10-30 06:00:00,,9.0,9.0
2024-10-28 22:00:00,Kryvyi Rih,1.0,0.0
2024-10-28 19:00:00,Odesa oblast,2.0,0.0
2024-10-28 19:00:00,,1.0,1.0
2024-10-28 19:00:00,,5.0,5.0
